Freq.,V(vout)/V(vin)
1.00000000000000e+02,-1.82033654804520e+00,-1.28949730819715e+00
1.00230523807790e+02,-1.82106972261365e+00,-1.29111732093696e+00
1.00461579027840e+02,-1.82180426296744e+00,-1.29274331858234e+00
1.00693166885180e+02,-1.82254018311671e+00,-1.29437530831736e+00
1.00925288607668e+02,-1.82327749709991e+00,-1.29601329732071e+00
1.01157945425990e+02,-1.82401621898398e+00,-1.29765729276562e+00
1.01391138573668e+02,-1.82475636286453e+00,-1.29930730181982e+00
1.01624869287070e+02,-1.82549794286598e+00,-1.30096333164552e+00
1.01859138805412e+02,-1.82624097314179e+00,-1.30262538939933e+00
1.02093948370768e+02,-1.82698546787466e+00,-1.30429348223230e+00
1.02329299228075e+02,-1.82773144127661e+00,-1.30596761728977e+00
1.02565192625141e+02,-1.82847890758927e+00,-1.30764780171141e+00
1.02801629812647e+02,-1.82922788108396e+00,-1.30933404263110e+00
1.03038612044162e+02,-1.82997837606197e+00,-1.31102634717697e+00
1.03276140576140e+02,-1.83073040685468e+00,-1.31272472247127e+00
1.03514216667934e+02,-1.83148398782374e+00,-1.31442917563036e+00
1.03752841581801e+02,-1.83223913336131e+00,-1.31613971376465e+00
1.03992016582906e+02,-1.83299585789014e+00,-1.31785634397854e+00
1.04231742939330e+02,-1.83375417586385e+00,-1.31957907337037e+00
1.04472021922080e+02,-1.83451410176709e+00,-1.32130790903236e+00
1.04712854805090e+02,-1.83527565011569e+00,-1.32304285805057e+00
1.04954242865232e+02,-1.83603883545688e+00,-1.32478392750483e+00
1.05196187382322e+02,-1.83680367236943e+00,-1.32653112446864e+00
1.05438689639126e+02,-1.83757017546393e+00,-1.32828445600920e+00
1.05681750921366e+02,-1.83833835938285e+00,-1.33004392918722e+00
1.05925372517729e+02,-1.83910823880081e+00,-1.33180955105700e+00
1.06169555719872e+02,-1.83987982842474e+00,-1.33358132866623e+00
1.06414301822431e+02,-1.84065314299410e+00,-1.33535926905603e+00
1.06659612123026e+02,-1.84142819728099e+00,-1.33714337926078e+00
1.06905487922266e+02,-1.84220500609041e+00,-1.33893366630815e+00
1.07151930523760e+02,-1.84298358426043e+00,-1.34073013721896e+00
1.07398941234124e+02,-1.84376394666236e+00,-1.34253279900713e+00
1.07646521362983e+02,-1.84454610820095e+00,-1.34434165867960e+00
1.07894672222983e+02,-1.84533008381457e+00,-1.34615672323623e+00
1.08143395129794e+02,-1.84611588847546e+00,-1.34797799966982e+00
1.08392691402120e+02,-1.84690353718978e+00,-1.34980549496587e+00
1.08642562361706e+02,-1.84769304499795e+00,-1.35163921610264e+00
1.08893009333343e+02,-1.84848442697475e+00,-1.35347917005101e+00
1.09144033644875e+02,-1.84927769822956e+00,-1.35532536377440e+00
1.09395636627209e+02,-1.85007287390651e+00,-1.35717780422868e+00
1.09647819614318e+02,-1.85086996918468e+00,-1.35903649836208e+00
1.09900583943252e+02,-1.85166899927834e+00,-1.36090145311513e+00
1.10153930954141e+02,-1.85246997943706e+00,-1.36277267542055e+00
1.10407861990207e+02,-1.85327292494598e+00,-1.36465017220317e+00
1.10662378397766e+02,-1.85407785112592e+00,-1.36653395037979e+00
1.10917481526240e+02,-1.85488477333367e+00,-1.36842401685916e+00
1.11173172728159e+02,-1.85569370696210e+00,-1.37032037854184e+00
1.11429453359173e+02,-1.85650466744040e+00,-1.37222304232012e+00
1.11686324778056e+02,-1.85731767023429e+00,-1.37413201507789e+00
1.11943788346715e+02,-1.85813273084607e+00,-1.37604730369057e+00
1.12201845430196e+02,-1.85894986481506e+00,-1.37796891502501e+00
1.12460497396692e+02,-1.85976908771759e+00,-1.37989685593938e+00
1.12719745617551e+02,-1.86059041516728e+00,-1.38183113328303e+00
1.12979591467279e+02,-1.86141386281522e+00,-1.38377175389646e+00
1.13240036323555e+02,-1.86223944635017e+00,-1.38571872461115e+00
1.13501081567231e+02,-1.86306718149873e+00,-1.38767205224945e+00
1.13762728582343e+02,-1.86389708402558e+00,-1.38963174362451e+00
1.14024978756116e+02,-1.86472916973363e+00,-1.39159780554013e+00
1.14287833478977e+02,-1.86556345446426e+00,-1.39357024479068e+00
1.14551294144553e+02,-1.86639995409747e+00,-1.39554906816094e+00
1.14815362149688e+02,-1.86723868455211e+00,-1.39753428242601e+00
1.15080038894443e+02,-1.86807966178607e+00,-1.39952589435121e+00
1.15345325782109e+02,-1.86892290179645e+00,-1.40152391069192e+00
1.15611224219209e+02,-1.86976842061982e+00,-1.40352833819346e+00
1.15877735615512e+02,-1.87061623433234e+00,-1.40553918359101e+00
1.16144861384034e+02,-1.87146635905001e+00,-1.40755645360945e+00
1.16412602941049e+02,-1.87231881092883e+00,-1.40958015496321e+00
1.16680961706096e+02,-1.87317360616505e+00,-1.41161029435620e+00
1.16949939101987e+02,-1.87403076099532e+00,-1.41364687848164e+00
1.17219536554813e+02,-1.87489029169692e+00,-1.41568991402194e+00
1.17489755493952e+02,-1.87575221458791e+00,-1.41773940764855e+00
1.17760597352080e+02,-1.87661654602737e+00,-1.41979536602185e+00
1.18032063565172e+02,-1.87748330241562e+00,-1.42185779579100e+00
1.18304155572516e+02,-1.87835250019436e+00,-1.42392670359381e+00
1.18576874816716e+02,-1.87922415584689e+00,-1.42600209605657e+00
1.18850222743701e+02,-1.88009828589833e+00,-1.42808397979395e+00
1.19124200802737e+02,-1.88097490691580e+00,-1.43017236140882e+00
1.19398810446427e+02,-1.88185403550864e+00,-1.43226724749215e+00
1.19674053130724e+02,-1.88273568832855e+00,-1.43436864462280e+00
1.19949930314937e+02,-1.88361988206985e+00,-1.43647655936743e+00
1.20226443461741e+02,-1.88450663346968e+00,-1.43859099828031e+00
1.20503594037179e+02,-1.88539595930818e+00,-1.44071196790320e+00
1.20781383510677e+02,-1.88628787640864e+00,-1.44283947476517e+00
1.21059813355048e+02,-1.88718240163781e+00,-1.44497352538244e+00
1.21338885046497e+02,-1.88807955190600e+00,-1.44711412625826e+00
1.21618600064636e+02,-1.88897934416732e+00,-1.44926128388271e+00
1.21898959892486e+02,-1.88988179541990e+00,-1.45141500473258e+00
1.22179966016487e+02,-1.89078692270604e+00,-1.45357529527115e+00
1.22461619926504e+02,-1.89169474311246e+00,-1.45574216194810e+00
1.22743923115840e+02,-1.89260527377048e+00,-1.45791561119926e+00
1.23026877081238e+02,-1.89351853185617e+00,-1.46009564944653e+00
1.23310483322890e+02,-1.89443453459066e+00,-1.46228228309764e+00
1.23594743344450e+02,-1.89535329924023e+00,-1.46447551854601e+00
1.23879658653036e+02,-1.89627484311659e+00,-1.46667536217058e+00
1.24165230759240e+02,-1.89719918357705e+00,-1.46888182033563e+00
1.24451461177138e+02,-1.89812633802464e+00,-1.47109489939058e+00
1.24738351424294e+02,-1.89905632390849e+00,-1.47331460566986e+00
1.25025903021771e+02,-1.89998915872388e+00,-1.47554094549271e+00
1.25314117494141e+02,-1.90092486001244e+00,-1.47777392516293e+00
1.25602996369487e+02,-1.90186344536251e+00,-1.48001355096884e+00
1.25892541179416e+02,-1.90280493240912e+00,-1.48225982918295e+00
1.26182753459066e+02,-1.90374933883434e+00,-1.48451276606187e+00
1.26473634747114e+02,-1.90469668236741e+00,-1.48677236784605e+00
1.26765186585784e+02,-1.90564698078502e+00,-1.48903864075967e+00
1.27057410520853e+02,-1.90660025191139e+00,-1.49131159101036e+00
1.27350308101665e+02,-1.90755651361860e+00,-1.49359122478907e+00
1.27643880881134e+02,-1.90851578382664e+00,-1.49587754826983e+00
1.27938130415752e+02,-1.90947808050376e+00,-1.49817056760959e+00
1.28233058265601e+02,-1.91044342166657e+00,-1.50047028894798e+00
1.28528665994361e+02,-1.91141182538029e+00,-1.50277671840716e+00
1.28824955169313e+02,-1.91238330975894e+00,-1.50508986209156e+00
1.29121927361353e+02,-1.91335789296548e+00,-1.50740972608769e+00
1.29419584144998e+02,-1.91433559321208e+00,-1.50973631646396e+00
1.29717927098395e+02,-1.91531642876033e+00,-1.51206963927044e+00
1.30016957803328e+02,-1.91630041792137e+00,-1.51440970053867e+00
1.30316677845229e+02,-1.91728757905612e+00,-1.51675650628142e+00
1.30617088813183e+02,-1.91827793057549e+00,-1.51911006249249e+00
1.30918192299940e+02,-1.91927149094058e+00,-1.52147037514651e+00
1.31219989901920e+02,-1.92026827866286e+00,-1.52383745019869e+00
1.31522483219223e+02,-1.92126831230437e+00,-1.52621129358461e+00
1.31825673855640e+02,-1.92227161047788e+00,-1.52859191121998e+00
1.32129563418657e+02,-1.92327819184722e+00,-1.53097930900047e+00
1.32434153519466e+02,-1.92428807512731e+00,-1.53337349280143e+00
1.32739445772973e+02,-1.92530127908448e+00,-1.53577446847767e+00
1.33045441797808e+02,-1.92631782253657e+00,-1.53818224186323e+00
1.33352143216332e+02,-1.92733772435322e+00,-1.54059681877117e+00
1.33659551654643e+02,-1.92836100345601e+00,-1.54301820499332e+00
1.33967668742593e+02,-1.92938767881862e+00,-1.54544640630000e+00
1.34276496113786e+02,-1.93041776946717e+00,-1.54788142843987e+00
1.34586035405594e+02,-1.93145129448019e+00,-1.55032327713960e+00
1.34896288259165e+02,-1.93248827298905e+00,-1.55277195810369e+00
1.35207256319427e+02,-1.93352872417804e+00,-1.55522747701422e+00
1.35518941235103e+02,-1.93457266728447e+00,-1.55768983953052e+00
1.35831344658715e+02,-1.93562012159909e+00,-1.56015905128906e+00
1.36144468246594e+02,-1.93667110646606e+00,-1.56263511790308e+00
1.36458313658892e+02,-1.93772564128332e+00,-1.56511804496238e+00
1.36772882559584e+02,-1.93878374550265e+00,-1.56760783803309e+00
1.37088176616484e+02,-1.93984543862994e+00,-1.57010450265736e+00
1.37404197501251e+02,-1.94091074022535e+00,-1.57260804435315e+00
1.37720946889394e+02,-1.94197966990353e+00,-1.57511846861394e+00
1.38038426460288e+02,-1.94305224733380e+00,-1.57763578090849e+00
1.38356637897177e+02,-1.94412849224029e+00,-1.58015998668051e+00
1.38675582887188e+02,-1.94520842440219e+00,-1.58269109134849e+00
1.38995263121334e+02,-1.94629206365399e+00,-1.58522910030538e+00
1.39315680294529e+02,-1.94737942988549e+00,-1.58777401891827e+00
1.39636836105593e+02,-1.94847054304221e+00,-1.59032585252822e+00
1.39958732257261e+02,-1.94956542312540e+00,-1.59288460644989e+00
1.40281370456195e+02,-1.95066409019236e+00,-1.59545028597132e+00
1.40604752412990e+02,-1.95176656435654e+00,-1.59802289635364e+00
1.40928879842186e+02,-1.95287286578772e+00,-1.60060244283074e+00
1.41253754462274e+02,-1.95398301471233e+00,-1.60318893060907e+00
1.41579377995707e+02,-1.95509703141347e+00,-1.60578236486726e+00
1.41905752168908e+02,-1.95621493623115e+00,-1.60838275075591e+00
1.42232878712281e+02,-1.95733674956255e+00,-1.61099009339725e+00
1.42560759360218e+02,-1.95846249186213e+00,-1.61360439788487e+00
1.42889395851109e+02,-1.95959218364181e+00,-1.61622566928341e+00
1.43218789927353e+02,-1.96072584547121e+00,-1.61885391262829e+00
1.43548943335364e+02,-1.96186349797777e+00,-1.62148913292536e+00
1.43879857825583e+02,-1.96300516184699e+00,-1.62413133515065e+00
1.44211535152486e+02,-1.96415085782252e+00,-1.62678052425001e+00
1.44543977074592e+02,-1.96530060670651e+00,-1.62943670513890e+00
1.44877185354475e+02,-1.96645442935961e+00,-1.63209988270197e+00
1.45211161758773e+02,-1.96761234670123e+00,-1.63477006179279e+00
1.45545908058195e+02,-1.96877437970976e+00,-1.63744724723358e+00
1.45881426027534e+02,-1.96994054942266e+00,-1.64013144381484e+00
1.46217717445671e+02,-1.97111087693673e+00,-1.64282265629505e+00
1.46554784095590e+02,-1.97228538340818e+00,-1.64552088940036e+00
1.46892627764385e+02,-1.97346409005294e+00,-1.64822614782426e+00
1.47231250243271e+02,-1.97464701814668e+00,-1.65093843622723e+00
1.47570653327588e+02,-1.97583418902517e+00,-1.65365775923650e+00
1.47910838816819e+02,-1.97702562408428e+00,-1.65638412144558e+00
1.48251808514594e+02,-1.97822134478025e+00,-1.65911752741408e+00
1.48593564228699e+02,-1.97942137262986e+00,-1.66185798166726e+00
1.48936107771090e+02,-1.98062572921054e+00,-1.66460548869574e+00
1.49279440957898e+02,-1.98183443616066e+00,-1.66736005295522e+00
1.49623565609442e+02,-1.98304751517956e+00,-1.67012167886600e+00
1.49968483550236e+02,-1.98426498802781e+00,-1.67289037081278e+00
1.50314196609001e+02,-1.98548687652737e+00,-1.67566613314423e+00
1.50660706618673e+02,-1.98671320256173e+00,-1.67844897017265e+00
1.51008015416413e+02,-1.98794398807610e+00,-1.68123888617368e+00
1.51356124843619e+02,-1.98917925507757e+00,-1.68403588538588e+00
1.51705036745932e+02,-1.99041902563527e+00,-1.68683997201038e+00
1.52054752973248e+02,-1.99166332188056e+00,-1.68965115021060e+00
1.52405275379728e+02,-1.99291216600711e+00,-1.69246942411178e+00
1.52756605823806e+02,-1.99416558027125e+00,-1.69529479780070e+00
1.53108746168202e+02,-1.99542358699191e+00,-1.69812727532531e+00
1.53461698279928e+02,-1.99668620855088e+00,-1.70096686069430e+00
1.53815464030302e+02,-1.99795346739303e+00,-1.70381355787681e+00
1.54170045294954e+02,-1.99922538602638e+00,-1.70666737080202e+00
1.54525443953840e+02,-2.00050198702229e+00,-1.70952830335876e+00
1.54881661891247e+02,-2.00178329301562e+00,-1.71239635939519e+00
1.55238700995807e+02,-2.00306932670488e+00,-1.71527154271838e+00
1.55596563160506e+02,-2.00436011085242e+00,-1.71815385709393e+00
1.55955250282694e+02,-2.00565566828444e+00,-1.72104330624556e+00
1.56314764264094e+02,-2.00695602189142e+00,-1.72393989385484e+00
1.56675107010813e+02,-2.00826119462800e+00,-1.72684362356067e+00
1.57036280433354e+02,-2.00957120951325e+00,-1.72975449895893e+00
1.57398286446620e+02,-2.01088608963084e+00,-1.73267252360215e+00
1.57761126969933e+02,-2.01220585812914e+00,-1.73559770099904e+00
1.58124803927037e+02,-2.01353053822137e+00,-1.73853003461410e+00
1.58489319246110e+02,-2.01486015318576e+00,-1.74146952786725e+00
1.58854674859776e+02,-2.01619472636576e+00,-1.74441618413345e+00
1.59220872705115e+02,-2.01753428117001e+00,-1.74737000674219e+00
1.59587914723672e+02,-2.01887884107270e+00,-1.75033099897722e+00
1.59955802861465e+02,-2.02022842961353e+00,-1.75329916407604e+00
1.60324539069002e+02,-2.02158307039794e+00,-1.75627450522952e+00
1.60694125301286e+02,-2.02294278709728e+00,-1.75925702558152e+00
1.61064563517825e+02,-2.02430760344883e+00,-1.76224672822839e+00
1.61435855682647e+02,-2.02567754325606e+00,-1.76524361621865e+00
1.61808003764305e+02,-2.02705263038869e+00,-1.76824769255248e+00
1.62181009735891e+02,-2.02843288878284e+00,-1.77125896018135e+00
1.62554875575047e+02,-2.02981834244119e+00,-1.77427742200758e+00
1.62929603263970e+02,-2.03120901543307e+00,-1.77730308088390e+00
1.63305194789432e+02,-2.03260493189459e+00,-1.78033593961301e+00
1.63681652142779e+02,-2.03400611602884e+00,-1.78337600094719e+00
1.64058977319952e+02,-2.03541259210593e+00,-1.78642326758781e+00
1.64437172321491e+02,-2.03682438446316e+00,-1.78947774218493e+00
1.64816239152549e+02,-2.03824151750511e+00,-1.79253942733681e+00
1.65196179822900e+02,-2.03966401570381e+00,-1.79560832558952e+00
1.65576996346951e+02,-2.04109190359881e+00,-1.79868443943648e+00
1.65958690743754e+02,-2.04252520579736e+00,-1.80176777131794e+00
1.66341265037015e+02,-2.04396394697447e+00,-1.80485832362066e+00
1.66724721255104e+02,-2.04540815187307e+00,-1.80795609867735e+00
1.67109061431069e+02,-2.04685784530404e+00,-1.81106109876620e+00
1.67494287602642e+02,-2.04831305214647e+00,-1.81417332611053e+00
1.67880401812254e+02,-2.04977379734765e+00,-1.81729278287822e+00
1.68267406107045e+02,-2.05124010592319e+00,-1.82041947118128e+00
1.68655302538872e+02,-2.05271200295720e+00,-1.82355339307541e+00
1.69044093164324e+02,-2.05418951360234e+00,-1.82669455055950e+00
1.69433780044731e+02,-2.05567266307993e+00,-1.82984294557516e+00
1.69824365246172e+02,-2.05716147668004e+00,-1.83299858000621e+00
1.70215850839493e+02,-2.05865597976166e+00,-1.83616145567830e+00
1.70608238900310e+02,-2.06015619775269e+00,-1.83933157435833e+00
1.71001531509027e+02,-2.06166215615017e+00,-1.84250893775401e+00
1.71395730750840e+02,-2.06317388052025e+00,-1.84569354751338e+00
1.71790838715757e+02,-2.06469139649831e+00,-1.84888540522426e+00
1.72186857498599e+02,-2.06621472978917e+00,-1.85208451241390e+00
1.72583789199018e+02,-2.06774390616699e+00,-1.85529087054828e+00
1.72981635921508e+02,-2.06927895147557e+00,-1.85850448103183e+00
1.73380399775412e+02,-2.07081989162822e+00,-1.86172534520675e+00
1.73780082874935e+02,-2.07236675260801e+00,-1.86495346435264e+00
1.74180687339159e+02,-2.07391956046777e+00,-1.86818883968590e+00
1.74582215292048e+02,-2.07547834133020e+00,-1.87143147235930e+00
