Freq.,V(vout)/V(vin)
1.00000000000000e+02,-1.81575523811536e+00,-1.28647847942035e+00
1.00230523807790e+02,-1.81648892665306e+00,-1.28809221534037e+00
1.00461579027840e+02,-1.81722398014588e+00,-1.28971191869266e+00
1.00693166885180e+02,-1.81796041261013e+00,-1.29133759663490e+00
1.00925288607668e+02,-1.81869823809036e+00,-1.29296925631915e+00
1.01157945425990e+02,-1.81943747065967e+00,-1.29460690489192e+00
1.01391138573668e+02,-1.82017812441983e+00,-1.29625054949409e+00
1.01624869287070e+02,-1.82092021350148e+00,-1.29790019726083e+00
1.01859138805412e+02,-1.82166375206427e+00,-1.29955585532162e+00
1.02093948370768e+02,-1.82240875429712e+00,-1.30121753080019e+00
1.02329299228075e+02,-1.82315523441832e+00,-1.30288523081446e+00
1.02565192625141e+02,-1.82390320667570e+00,-1.30455896247650e+00
1.02801629812647e+02,-1.82465268534692e+00,-1.30623873289251e+00
1.03038612044162e+02,-1.82540368473952e+00,-1.30792454916270e+00
1.03276140576140e+02,-1.82615621919121e+00,-1.30961641838136e+00
1.03514216667934e+02,-1.82691030306998e+00,-1.31131434763667e+00
1.03752841581801e+02,-1.82766595077428e+00,-1.31301834401076e+00
1.03992016582906e+02,-1.82842317673325e+00,-1.31472841457960e+00
1.04231742939330e+02,-1.82918199540689e+00,-1.31644456641296e+00
1.04472021922080e+02,-1.82994242128622e+00,-1.31816680657434e+00
1.04712854805090e+02,-1.83070446889353e+00,-1.31989514212096e+00
1.04954242865232e+02,-1.83146815278239e+00,-1.32162958010361e+00
1.05196187382322e+02,-1.83223348753808e+00,-1.32337012756668e+00
1.05438689639126e+02,-1.83300048777759e+00,-1.32511679154806e+00
1.05681750921366e+02,-1.83376916814986e+00,-1.32686957907907e+00
1.05925372517729e+02,-1.83453954333602e+00,-1.32862849718440e+00
1.06169555719872e+02,-1.83531162804948e+00,-1.33039355288206e+00
1.06414301822431e+02,-1.83608543703621e+00,-1.33216475318329e+00
1.06659612123026e+02,-1.83686098507483e+00,-1.33394210509251e+00
1.06905487922266e+02,-1.83763828697690e+00,-1.33572561560722e+00
1.07151930523760e+02,-1.83841735758703e+00,-1.33751529171798e+00
1.07398941234124e+02,-1.83919821178311e+00,-1.33931114040826e+00
1.07646521362983e+02,-1.83998086447646e+00,-1.34111316865446e+00
1.07894672222983e+02,-1.84076533061205e+00,-1.34292138342574e+00
1.08143395129794e+02,-1.84155162516873e+00,-1.34473579168403e+00
1.08392691402120e+02,-1.84233976315928e+00,-1.34655640038384e+00
1.08642562361706e+02,-1.84312975963074e+00,-1.34838321647230e+00
1.08893009333343e+02,-1.84392162966461e+00,-1.35021624688902e+00
1.09144033644875e+02,-1.84471538837687e+00,-1.35205549856598e+00
1.09395636627209e+02,-1.84551105091834e+00,-1.35390097842750e+00
1.09647819614318e+02,-1.84630863247479e+00,-1.35575269339011e+00
1.09900583943252e+02,-1.84710814826721e+00,-1.35761065036249e+00
1.10153930954141e+02,-1.84790961355187e+00,-1.35947485624536e+00
1.10407861990207e+02,-1.84871304362064e+00,-1.36134531793142e+00
1.10662378397766e+02,-1.84951845380109e+00,-1.36322204230519e+00
1.10917481526240e+02,-1.85032585945676e+00,-1.36510503624301e+00
1.11173172728159e+02,-1.85113527598731e+00,-1.36699430661288e+00
1.11429453359173e+02,-1.85194671882866e+00,-1.36888986027436e+00
1.11686324778056e+02,-1.85276020345334e+00,-1.37079170407850e+00
1.11943788346715e+02,-1.85357574537048e+00,-1.37269984486774e+00
1.12201845430196e+02,-1.85439336012619e+00,-1.37461428947580e+00
1.12460497396692e+02,-1.85521306330366e+00,-1.37653504472754e+00
1.12719745617551e+02,-1.85603487052331e+00,-1.37846211743893e+00
1.12979591467279e+02,-1.85685879744309e+00,-1.38039551441687e+00
1.13240036323555e+02,-1.85768485975861e+00,-1.38233524245913e+00
